Id,SalePrice
2,127868.53286108797
4,287615.3600927992
6,195839.78981961892
7,230899.65333376767
17,211806.99949236313
18,374898.2771506299
22,185751.24453549614
27,119972.80836476888
31,101985.08927477668
36,143400.14369468857
39,409131.0199902381
40,256688.287056397
42,313940.80724945816
46,233891.24630426377
53,161765.2670704362
58,173337.51143422036
61,324329.9322689383
72,259929.36164590385
79,115866.10446152565
80,206763.00042787628
82,168729.51037285835
83,95599.77800125653
85,151770.79382841042
88,125096.67260786852
92,283954.1465789943
93,283441.1736483388
95,185192.9951373483
102,193424.37812718938
103,177249.92060597026
106,232375.74923701322
107,161032.80435441906
110,224983.19969929385
114,201534.30396826824
116,181090.22401631624
117,157833.13939734924
118,147766.38364043814
125,164055.9272977543
126,177693.99496557546
127,132378.0640905516
128,216785.98615117138
134,145261.63495040502
135,186852.76567102602
137,244679.291424233
143,152039.52412574738
147,141036.98059316791
148,195119.5606150683
150,124937.80844005887
156,141868.51708493958
157,134984.09764817194
159,146232.59977602924
161,243411.06781556923
167,156440.8493970648
170,123513.26768093891
171,81945.92886699743
175,111968.39578933924
179,129268.28746379033
181,107905.5278938569
186,200482.4739994877
193,199412.50371369068
194,86065.66016077231
206,113413.99969721131
208,133909.80548277925
210,172598.113806003
211,76370.53348987864
212,124364.39389048968
214,88902.31273108172
215,126694.89516620136
217,152213.79856915557
222,154088.3161948577
227,154192.70516609584
228,161840.96150453947
233,237891.73794182722
235,132346.5312658896
238,144179.78136736402
241,166069.68535919747
252,177692.94744807173
253,183542.91068354863
256,150808.67741952068
257,159250.37782168898
258,191012.98277628017
259,184140.30074701487
261,157520.1040478799
263,127221.06595002953
266,224313.00718835567
267,218734.1263226898
270,147586.6146730607
271,241426.4464504407
276,109532.5620810104
285,156189.70644829635
288,65794.94957389431
289,156539.97992563943
290,127018.16845753824
291,143431.18075949198
292,117678.54219541463
293,190534.46745377107
294,228977.3290078306
295,188291.31952659512
304,131288.57354075747
322,358702.47450863535
326,170335.04527864093
327,92054.45608725902
328,145557.61251189432
331,85313.70931040036
332,76874.67067761088
333,93187.83664600675
335,154286.04229709014
337,176810.61655036092
342,121663.91680005535
343,177515.04593792607
347,175359.1305535267
350,364150.0365566914
352,242463.03614332885
358,222868.06239495642
359,174211.14019943197
360,153714.4497022712
368,338122.37917369034
369,295206.1490862523
373,186601.6443774509
377,247038.15610784723
383,188143.19603349533
386,210919.39888039633
387,231711.6567049583
390,163987.239319655
391,148997.74873838283
395,151596.301160791
397,138784.36473716493
398,122836.02043567775
401,120423.78116173545
404,122001.18625626346
408,123237.86724082594
409,130370.7245498508
410,143012.3288372198
418,120999.92078091888
422,441612.4114266606
427,376184.98669783387
431,412693.26733253186
433,497544.30544828356
437,364476.47172415373
438,279646.85125604516
442,373939.7023800784
447,239275.0633458404
459,366985.7431887807
460,305791.1895924761
464,209408.2647199277
465,176449.40676069655
467,181353.23821243612
468,189017.28397434475
474,160625.9711192822
480,192265.6481805865
481,196063.6049767502
483,220051.66731254544
488,181549.35629628415
492,185335.89412045537
494,169975.56085611548
499,315147.9511740632
500,275380.0889015045
501,306047.47819302115
503,262605.6974590017
506,251854.92965215462
508,241203.43358139996
511,268690.27822127513
515,242469.73013785493
519,237235.87447871934
521,244174.63348513943
530,228917.13188958942
532,231174.62744996313
534,179125.62765878162
540,164367.3206615412
541,129592.74850324327
551,165001.57444821496
552,159129.3664639531
554,86181.0345810567
555,112734.91419103708
556,133343.37281571553
557,126464.64621327964
565,259223.75999518315
566,259325.27729734374
567,172574.48469389344
569,225951.96448030818
570,198118.83170022498
